global_sweep,stage,stage_sweep,degree,n_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,sweep_seconds,elapsed_seconds,is_best
10,0,10,8,165,0.01886428911754257,0.01730534215776936,0.05167700419100698,0.13116285337438616,0.11777957483032853,0.0610638740957834,0.005572426214153807,0.003405722650745577,0.00505359561109324,0.002915252551307391,10.607939544133842,116.13772484706715,1
11,0,11,8,165,0.016863853662089725,0.015585364524264032,0.05046116474998332,0.12752855753867148,0.11498538147452415,0.05670061208767332,0.004425466927316248,0.002941831097087909,0.004012627384265438,0.0025267011209146326,10.503134335158393,126.64094526902772,1
12,0,12,8,165,0.01532604326905804,0.014263033194586584,0.04944759311125173,0.1244836780161389,0.11262617390793428,0.053300061656051945,0.0035585063342590817,0.0025761772322920795,0.0032312576872357704,0.0022214922921198563,10.660639969166368,137.30166912893765,1
13,0,13,8,165,0.014128462655819416,0.013230451035024009,0.04858757992245751,0.1218811785049307,0.11058659451189673,0.05060569099252617,0.002900118479184498,0.002284519679358126,0.002643271784831689,0.001978589748885967,10.66005401685834,147.96180514688604,1
14,0,14,8,165,0.013180045922982421,0.01240823291526368,0.047846499003798976,0.11961790189350169,0.10878858394758086,0.048428927422354356,0.0023989276901250503,0.0020488138447902304,0.00220041488236892,0.001782385132684403,10.659473268082365,158.62136595207267,1
15,0,15,8,165,0.012413776457254184,0.011738702522836816,0.04719933106065362,0.11762049548517627,0.1071785342275898,0.04663238195136761,0.002016971062743235,0.0018556101501490852,0.0018666802490071015,0.0016213294677796318,10.498366214102134,169.11984390788712,1
16,0,16,8,165,0.011780906422497845,0.011180439914769767,0.04662768478289573,0.11583596881368563,0.10571893890289928,0.045116837108926104,0.0017255620549583555,0.0016948965560831936,0.0016147111201949668,0.0014869150785706557,10.497188428184018,179.61712501291186,1
17,0,17,8,165,0.011246319523674024,0.01070395623552947,0.046117799323859225,0.11422535896513199,0.10438297175044507,0.0438111088307612,0.0015026695033550244,0.0015592339549979875,0.0014235258636480876,0.0013728997167019954,10.496974989073351,190.11418954492547,1
18,0,18,8,165,0.010784882359569854,0.010288359033655924,0.0456591935352625,0.11275946971618099,0.10315096271289538,0.04266428463613342,0.001331245775547995,0.0014431000269153399,0.0012770561981439931,0.0012747125679360366,10.497497811214998,200.61177532793954,1
19,0,19,8,165,0.01037865605891095,0.009918859864423734,0.04524374385545595,0.1114159917772972,0.10200810001528106,0.04163992510259251,0.0011981327051992325,0.0013423907015104486,0.0011631407712888464,0.0011890034562402785,10.498948192922398,211.11080635990947,1
20,0,20,8,165,0.010014824726399424,0.00958496066992368,0.044865048091534666,0.1101775431719542,0.10094292440245792,0.04071183215376432,0.0010932896460709685,0.0012540442687455455,0.001072745099723047,0.0011133057661305784,10.604754415107891,221.7156468690373,1
21,0,21,8,165,0.009684191841498298,0.009279161068313122,0.04451798124884536,0.10903032412269414,0.0999463356212043,0.039861018884201266,0.001009184632667728,0.0011757611806197318,0.0009992966453917667,0.0010457883844927811,10.60463562910445,232.32036746898666,1
22,0,22,8,165,0.0093801077881796,0.008996050416377363,0.04419838142026595,0.10796318404196638,0.09901093089382064,0.03907356969813567,0.0009402727942923625,0.0011057976222923276,0.0009381055244233121,0.0009850757538941084,10.659129095962271,242.97958379099146,1
23,0,23,8,165,0.009097714099726614,0.008731676266105753,0.04390282456778352,0.106966966482997,0.09813055927903004,0.03833914294203507,0.0008825416234219649,0.0010428149787239586,0.0008858758520848084,0.0009301188445386135,10.659434705041349,253.63910431787372,1
24,0,24,8,165,0.008833414910481055,0.00848310752350176,0.0436284606855829,0.1060340429364549,0.09730001706387438,0.037649928434015746,0.0008331259744454287,0.0009857709238366608,0.000840314152483304,0.0008801034309706379,10.498160026967525,264.1373515629675,1
