global_sweep,window,window_sweep,degree_min,degree_max,window_terms,cumulative_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,is_best
491,2,111,2,7,116,120,4.2044173917734014e-05,3.800889170536833e-05,0.006247573535902718,0.000783854842495812,0.0007721936986756211,0.00023565791974024567,0.00015318136281475443,0.0002918805811118733,9.88663540152916e-05,0.00021794563791191466,1
492,2,112,2,7,116,120,4.200777749638343e-05,3.7972012453386373e-05,0.006247580131454921,0.0007829010889846592,0.0007711675147049607,0.00023538665031873183,0.00015325247655919197,0.00029074860234863133,0.00010031582606114683,0.0002215436185549174,1
493,2,113,2,7,116,120,4.1971846237457416e-05,3.7935438317949104e-05,0.006247586355936458,0.000781949837370509,0.0007701436623611816,0.00023511663452857557,0.0001533132427089273,0.00028962198306753834,0.00010172785096728616,0.0002250526250046896,1
494,2,114,2,7,116,120,4.1936364765661056e-05,3.789916481979334e-05,0.006247592212450833,0.0007810010522351364,0.0007691221050060066,0.0002348478453095687,0.0001533638100042187,0.00028850049490977903,0.00010310328078825363,0.0002284747161066964,1
495,2,115,2,7,116,120,4.1901318334528914e-05,3.786318749177848e-05,0.0062475977042105455,0.0007800546989523596,0.0007681028072126683,0.0002345802564428102,0.00015340433268895752,0.0002873839290676847,0.00010444295561996313,0.00023181191061663291,1
496,2,116,2,7,116,120,4.186669279741116e-05,3.782750188294564e-05,0.006247602834527805,0.0007791107436696338,0.0007670857347236252,0.0002343138425196827,0.00015343496778277385,0.00028627209062314024,0.00010574770238671478,0.0002350661859791209,1
497,2,117,2,7,116,120,4.183247457996658e-05,3.779210356231837e-05,0.006247607606805736,0.0007781691532895786,0.0007660708544098877,0.00023404857891223157,0.00015345587668354733,0.00028516480236932503,0.00010701833362559523,0.00023823947694514953,1
498,2,118,2,7,116,120,4.17986506540533e-05,3.775698812245267e-05,0.006247612024530038,0.0007772298954522596,0.0007650581342316104,0.000233784441744893,0.00015346722269228113,0.0002840618995880445,0.00010825564712561718,0.0002413336759377662,1
499,2,119,2,7,116,120,4.17652085129528e-05,3.772215118274607e-05,0.006247616091261033,0.0007762929385175643,0.0007640475432001487,0.00023352140786747017,0.00015346917229927868,0.0002829632331454541,0.00010946042538067482,0.00024435063284889536,1
500,2,120,2,7,116,120,4.1732136147870965e-05,3.7687588392499e-05,0.006247619810626157,0.0007753582515480841,0.0007630390513415692,0.0002332594548293353,0.0001534618934166626,0.00028186866561594263,0.00011063343503295109,0.0002472921547258733,1
501,2,121,2,7,116,120,4.169942202558535e-05,3.765329543375841e-05,0.0062476231863128565,0.0007744258042920987,0.0007620326296611918,0.0002329985608546728,0.0001534455558460217,0.0002807780726017291,0.00011177542658857887,0.0002501600059273328,1
502,2,122,2,7,116,120,4.1667055067239735e-05,3.761926802394385e-05,0.006247626222061816,0.0007734955671673831,0.0007610282501096947,0.0002327387048188914,0.00015342033059026518,0.0002796913411852452,0.00011288713476471395,0.0002529559096309368,1
503,2,123,2,7,116,120,4.163502462818503e-05,3.7585501918248934e-05,0.006247628921660595,0.0007725675112448444,0.0007600258855502834,0.00023247986622594675,0.00015338638907305148,0.00027860836834273615,0.00011396927754126653,0.0002556815463332746,1
504,2,124,2,7,116,120,4.1603320478811675e-05,3.75519929118543e-05,0.006247631288937597,0.000771641608232947,0.0007590255097269604,0.00023222202518665672,0.0001533439041206881,0.0002775290631182559,0.00011502255723588337,0.0002583385568276898,1
505,2,125,2,7,116,120,4.157193278632513e-05,3.75187368419458e-05,0.0062476333277563635,0.0007707178304622942,0.0007580270972341256,0.00023196516239791293,0.00015329304779580967,0.0002764533418008836,0.00011604765941558719,0.00026092854026730296,1
506,2,126,2,7,116,120,4.1540852097425183e-05,3.748572958954211e-05,0.006247635042010198,0.0007697961508705661,0.0007570306234870336,0.00023170925912272726,0.0001532339931414755,0.00027538113190672306,0.00011704525409776418,0.00026345305728985035,1
507,2,127,2,7,116,120,4.151006932180216e-05,3.7452967081161266e-05,0.006247636435617111,0.0007688765429878704,0.0007560360646935319,0.00023145429717110367,0.00015316691287151389,0.0002743123691181916,0.00011801599530462656,0.00026591362943384776,1
